reaction name	ECN	has match in metaCyc	contains atom mapping	left mets	right mets	missingMets
L-dopachrome isomerase 1	1.14.18.1	False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+VJNCICVKUHKIIV-LURJTMIESA-N	MYMOFIZGZYHOMD-UHFFFAOYSA-N+JDWYRSDDJVCWPB-LURJTMIESA-N	
L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase	2.6.1.1	False	False	WHUUTDBJXJRKMK-VKHMYHEASA-N+WXSKVKPSMAHCSG-UHFFFAOYSA-N	KPGXRSRHYNQIFN-UHFFFAOYSA-N+HBDWQSHEVMSFGY-STHAYSLISA-N	
L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase 2, mitochondrial	2.6.1.21	False	False	CKLJMWTZIZZHCS-REOHCLBHSA-N+WXSKVKPSMAHCSG-UHFFFAOYSA-N	HBDWQSHEVMSFGY-STHAYSLISA-N+KHPXUQMNIQBQEV-UHFFFAOYSA-N	
L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase, mitochondrial	2.6.1.1	False	False	WHUUTDBJXJRKMK-VKHMYHEASA-N+WXSKVKPSMAHCSG-UHFFFAOYSA-N	KPGXRSRHYNQIFN-UHFFFAOYSA-N+HBDWQSHEVMSFGY-STHAYSLISA-N	
L-glutamate 5-semialdehyde dehydratase (spontaneous)		False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+DWAKNKKXGALPNW-UHFFFAOYSA-N	KABXUUFDPUOJMW-BYPYZUCNSA-N	
L-glutamate 5-semialdehyde dehydratase, reversible, mitochondrial		False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XLYOFNOQVPJJNP-UHFFFAOYSA-N+DWAKNKKXGALPNW-UHFFFAOYSA-N	KABXUUFDPUOJMW-BYPYZUCNSA-N	
L-gulonate 3-dehydrogenase	1.1.1.45	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+WTAHRPBPWHCMHW-LWKDLAHASA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+RGHNJXZEOKUKBD-QTBDOELSSA-N	
L-lactate dehydrogenase	1.1.1.27	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+LCTONWCANYUPML-UHFFFAOYSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+JVTAAEKCZFNVCJ-REOHCLBHSA-N	
L-lysine oxidase, peroxisomal	1.4.3.14	False	False	MHAJPDPJQMAIIY-UHFFFAOYSA-N+QGZKDVFQNNGYKY-UHFFFAOYSA-N+GWENQMVPLJAMAE-UHFFFAOYSA-N	MYMOFIZGZYHOMD-UHFFFAOYSA-N+XLYOFNOQVPJJNP-UHFFFAOYSA-N+KDXKERNSBIXSRK-YFKPBYRVSA-N	
L-pipecolate oxidase, peroxisomal	1.5.3.7	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+MHAJPDPJQMAIIY-UHFFFAOYSA-N+CSDPVAKVEWETFG-UHFFFAOYSA-N	HXEACLLIILLPRG-YFKPBYRVSA-N+MYMOFIZGZYHOMD-UHFFFAOYSA-N	
L-proline:(acceptor) oxidoreductase Arginine and proline metabolism EC:1.5.99.8		False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+ACTIUHUUMQJHFO-UHFFFAOYSA-N+DWAKNKKXGALPNW-UHFFFAOYSA-N	QNTNKSLOFHEFPK-UHFFFAOYSA-N+ONIBWKKTOPOVIA-BYPYZUCNSA-N	
L-serine ammonia-lyase Glycine, serine and threonine metabolism EC:4.3.1.17	4.3.1.17	False	False	QGZKDVFQNNGYKY-UHFFFAOYSA-N+LCTONWCANYUPML-UHFFFAOYSA-N	MTCFGRXMJLQNBG-REOHCLBHSA-N	
L-sulfolactate dehydrogenase (NAD+)	1.1.1.272	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+BUTHMSUEBYPMKJ-UHFFFAOYSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+CQQGIWJSICOUON-UWTATZPHSA-N	
L-sulfolactate dehydrogenase (NAD+), mitochondrial	1.1.1.37	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+BUTHMSUEBYPMKJ-UHFFFAOYSA-N	BAWFJGJZGIEFAR-NNYOXOHSSA-M+CQQGIWJSICOUON-UWTATZPHSA-N	
L-threonine deaminase	4.3.1.19	False	False	QGZKDVFQNNGYKY-UHFFFAOYSA-N+TYEYBOSBBBHJIV-UHFFFAOYSA-N	AYFVYJQAPQTCCC-GBXIJSLDSA-N	
LAPCOAe		False	False	NBIIXXVUZAFLBC-UHFFFAOYSA-N+KDTSHFARGAKYJN-IBOSZNHHSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+RGJOEKWQDUBAIZ-IBOSZNHHSA-N	
Lactose 6-phosphate galactohydrolase Galactose metabolism EC:3.2.1.23	3.2.1.23	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+NBIIXXVUZAFLBC-UHFFFAOYSA-N+GUBGYTABKSRVRQ-QKKXKWKRSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N	
Lactosylceramide 4-alpha-galactosyltransferase	2.4.1.228	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N	HSCJRCZFDFQWRP-LNYDKVEPSA-N	
Lactosylceramide alpha-2,3-sialyltransferase, Golgi apparatus	2.4.99.9	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+IERHLVCPSMICTF-XVFCMESISA-N+60065	TXCIAUNLDRJGJZ-BILDWYJOSA-N	
Lanosterol,NADPH:oxygen oxidoreductase (14-methyl cleaving) Biosynthesis of steroids EC:1.14.13.70	1.14.13.70	False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+LFQXEZVYNCBVDO-PBJLWWPKSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+BDAGIHXWWSANSR-UHFFFAOYSA-N	MYMOFIZGZYHOMD-UHFFFAOYSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+CAHGCLMLTWQZNJ-BQNIITSRSA-N	
Lathosterol oxidase	1.3.3.2	False	False	UCTLRSWJYQTBFZ-DDPQNLDTSA-N+XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K	MYMOFIZGZYHOMD-UHFFFAOYSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+IZVFFXVYBHFIHY-SKCNUYALSA-N	
Lauroyl-CoA:acetyl-CoA C-acyltransferase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:2.3.1.16	2.3.1.16	False	False	ZSLZBFCDCINBPY-ZSJPKINUSA-N+YMCXGHLSVALICC-GMHMEAMDSA-N	RGJOEKWQDUBAIZ-IBOSZNHHSA-N+IQNFBGHLIVBNOU-QSGBVPJFSA-N	
Lecithin retinol acyltransferase		False	False	11230	FPIPGXGPPPQFEQ-UHFFFAOYSA-N	
Lecithin retinol acyltransferase (11-cis)		False	False	11230	FPIPGXGPPPQFEQ-UHFFFAOYSA-N	
Lecithin retinol acyltransferase (9-cis)		False	False	11230	FPIPGXGPPPQFEQ-UHFFFAOYSA-N	
Lecithin-cholesterol acyltransferase	2.3.1.43	False	False	11230+17002	HVYWMOMLDIMFJA-DPAQBDIFSA-N	
Leukotriene A-4 hydrolase	3.3.2.6	True	True	VNYSSYRCGWBHLG-RTBURBONSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+UFPQIRYSPUYQHK-OALUTQOASA-N	
Leukotriene C4 carboxypeptidase	2.3.2.2	False	False	DHMQDGOQFOQNFH-UHFFFAOYSA-N+PYSODLWHFWCFLV-NAVOZUGXSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+GWNVDXQDILPJIG-OJJQZRKESA-N	
Leukotriene C4 synthase	4.4.1.20	True	True	GWNVDXQDILPJIG-OJJQZRKESA-N	RWSXRVCMGQZWBV-WDSKDSINSA-N+UFPQIRYSPUYQHK-OALUTQOASA-N	
Leukotriene D4 dipeptidase	2.3.2.2	True	True	DHMQDGOQFOQNFH-UHFFFAOYSA-N+OTZRAYGBFWZKMX-PCCBWWKXSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+YEESKJGWJFYOOK-FDFHNCONSA-N	
Lumisterol 3 formation		False	False	UCTLRSWJYQTBFZ-XMVWLVNMSA-N	YUGCAAVRZWBXEQ-CJJWQTMXSA-N	
M4A transamidase, endoplasmic reticulum		False	False	[]		
M4B phosphoethanolaminyl transferase, endoplasmic reticulum		False	False		16038	
M4B transamidase, endoplasmic reticulum		False	False			
M4C phosphoethanolaminyl transferase, endoplasmic reticulum		False	False		16038	
MTRX Protein assembly		False	False	XTWYTFMLZFPYCI-KQYNXXCUSA-N+NBIIXXVUZAFLBC-UHFFFAOYSA-N+UDMBCSSLTHHNCD-KQYNXXCUSA-N+XPPKVPWEQAFLFU-UHFFFAOYSA-N+15967	XLYOFNOQVPJJNP-UHFFFAOYSA-N+ZKHQWZAMYRWXGA-KQYNXXCUSA-N+WHUUTDBJXJRKMK-VKHMYHEASA-N+CKLJMWTZIZZHCS-REOHCLBHSA-N+DCXYFEDJOCDNAF-REOHCLBHSA-N+QNAYBMKLOCPYGJ-REOHCLBHSA-N+XUJNEKJLAYXESH-REOHCLBHSA-N+ZDXPYRJPNDTMRX-VKHMYHEASA-N+DHMQDGOQFOQNFH-UHFFFAOYSA-N+MTCFGRXMJLQNBG-REOHCLBHSA-N+AYFVYJQAPQTCCC-GBXIJSLDSA-N+KDXKERNSBIXSRK-YFKPBYRVSA-N+ODKSFYDXXFIFQN-BYPYZUCNSA-N+FFEARJCKVFRZRR-BYPYZUCNSA-N+HNDVDQJCIGZPNO-YFKPBYRVSA-N+OUYCCCASQSFEME-QMMMGPOBSA-N+AGPKZVBTJJNPAG-WHFBIAKZSA-N+ROHFNLRQFUQHCH-YFKPBYRVSA-N+QIVBCDIJIAJPQS-VIFPVBQESA-N+COLNVLDHVKWLRT-QMMMGPOBSA-N+ONIBWKKTOPOVIA-BYPYZUCNSA-N+KZSNJWFQEVHDMF-BYPYZUCNSA-N	
Malonyl-CoA Decarboxylase cytoplasmic		False	False	CURLTUGMZLYLDI-UHFFFAOYSA-N+ZSLZBFCDCINBPY-ZSJPKINUSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+LTYOQGRJFJAKNA-DVVLENMVSA-N	
Malonyl-CoA Decarboxylase peroxisomal	4.1.1.9	False	False	ZSLZBFCDCINBPY-ZSJPKINUSA-N+CURLTUGMZLYLDI-UHFFFAOYSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+LTYOQGRJFJAKNA-DVVLENMVSA-N	
Malonyl-CoA Decarboxylase, mitochondrial	4.1.1.9	False	False	CURLTUGMZLYLDI-UHFFFAOYSA-N+ZSLZBFCDCINBPY-ZSJPKINUSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+LTYOQGRJFJAKNA-DVVLENMVSA-N	
Malonyl-CoA-ACP transacylase	2.3.1.85	False	False	RGJOEKWQDUBAIZ-IBOSZNHHSA-N+58107	LTYOQGRJFJAKNA-DVVLENMVSA-N+18359	
Malonyl-CoA-ACP transacylase, mitochondrial	2.3.1.39	False	False	RGJOEKWQDUBAIZ-IBOSZNHHSA-N+58107	LTYOQGRJFJAKNA-DVVLENMVSA-N+18359	
Maltodextrin glucosidase (maltotriose)	3.2.1.20	False	False	WQZGKKKJIJFFOK-GASJEMHNSA-N+GUBGYTABKSRVRQ-PICCSMPSSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+FYGDTMLNYKFZSV-PXXRMHSHSA-N	
Maltodextrin glucosidase (maltotriose), extracellular		False	False	WQZGKKKJIJFFOK-GASJEMHNSA-N+GUBGYTABKSRVRQ-PICCSMPSSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+FYGDTMLNYKFZSV-PXXRMHSHSA-N	
Maltodextrin glucosidase (maltotriose), lysosome	3.2.1.20	False	False	WQZGKKKJIJFFOK-GASJEMHNSA-N+GUBGYTABKSRVRQ-PICCSMPSSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+FYGDTMLNYKFZSV-PXXRMHSHSA-N	
Melatonin:NADP oxidoreductase	1.14.14.1	False	False	XLYOFNOQVPJJNP-UHFFFAOYSA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+OMYMRCXOJJZYKE-UHFFFAOYSA-N	MYMOFIZGZYHOMD-UHFFFAOYSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+DRLFMBDRBRZALE-UHFFFAOYSA-N	
Melatonin:oxygen 2,3-dioxygenase (indole-decyclizing)	1.13.11.42	False	False	JYWNYMJKURVPFH-UHFFFAOYSA-N	MYMOFIZGZYHOMD-UHFFFAOYSA-N+DRLFMBDRBRZALE-UHFFFAOYSA-N	
Mesaconyl-CoA pyruvate-lyase	4.1.3.25	False	False	LCTONWCANYUPML-UHFFFAOYSA-N+ZSLZBFCDCINBPY-ZSJPKINUSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+LVBVWNJPMXCQJE-CITAKDKDSA-N	
Methylamine oxidase	1.4.3.6	False	False	MHAJPDPJQMAIIY-UHFFFAOYSA-N+QGZKDVFQNNGYKY-UHFFFAOYSA-N+WSFSSNUMVMOOMR-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+MYMOFIZGZYHOMD-UHFFFAOYSA-N+BAVYZALUXZFZLV-UHFFFAOYSA-N	
Methylmalonyl-CoA decarboxylase	4.1.1.9	False	False	CURLTUGMZLYLDI-UHFFFAOYSA-N+QAQREVBBADEHPA-UXYNFSPESA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+MZFOKIKEPGUZEN-IBNUZSNCSA-N	
Methylmalonyl-CoA decarboxylase, mitochondrial	4.1.1.9	False	False	CURLTUGMZLYLDI-UHFFFAOYSA-N+QAQREVBBADEHPA-UXYNFSPESA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+MZFOKIKEPGUZEN-IBNUZSNCSA-N	
Methylmalonyl-CoA decarboxylase, peroxisomal	4.1.1.9	False	False	CURLTUGMZLYLDI-UHFFFAOYSA-N+QAQREVBBADEHPA-UXYNFSPESA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+MZFOKIKEPGUZEN-IBNUZSNCSA-N	
N-((R)-Pantothenoyl)-L-cysteine carboxy-lyase Pantothenate and CoA biosynthesis EC:4.1.1.30	4.1.1.30	False	False	CURLTUGMZLYLDI-UHFFFAOYSA-N+ZNXZGRMVNNHPCA-VIFPVBQESA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+QSYCTARXWYLMOF-CBAPKCEASA-N	
N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming) Arginine and proline metabolism EC:1.14.13.39	1.14.13.39	False	False	RHGKLRLOHDJJDR-BYPYZUCNSA-N+MWUXSHHQAYIFBG-UHFFFAOYSA-N	MYMOFIZGZYHOMD-UHFFFAOYSA-N+FQWRAVYMZULPNK-UHFFFAOYSA-N	
N-Acetyl-L-aspartate amidohydrolase	3.5.1.15	True	True	CKLJMWTZIZZHCS-REOHCLBHSA-N+QTBSBXVTEAMEQO-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+OTCCIMWXFLJLIA-BYPYZUCNSA-N	
N-Acetylneuraminate 9-phosphate phosphohydrolase	3.1.3.29	True	True	NBIIXXVUZAFLBC-UHFFFAOYSA-N+SQVRNKJHWKZAKO-LUWBGTNYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+SQMNIXJSBCSNCI-LUWBGTNYSA-N	
N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating)	2.5.1.56	False	False	NBIIXXVUZAFLBC-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+DTBNBXWJWCWCIK-UHFFFAOYSA-N+NBSCHQHZLSJFNQ-RWOPYEJCSA-N	
N-Acetylneuraminate lyase (reversible)	4.1.3.3	True	True	LCTONWCANYUPML-UHFFFAOYSA-N+MBLBDJOUHNCFQT-XAMCCFCMSA-N	SQVRNKJHWKZAKO-LUWBGTNYSA-N	
N-Formyl-L-kynurenine amidohydrolase	3.5.1.9	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BDAGIHXWWSANSR-UHFFFAOYSA-N+YGPSJZOEDVAXAB-QMMMGPOBSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+BYHJHXPTQMMKCA-QMMMGPOBSA-N	
N-Formylanthranilate amidohydrolase Tryptophan metabolism EC:3.5.1.9	3.5.1.9	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BDAGIHXWWSANSR-UHFFFAOYSA-N+RWZYAGGXGHYGMB-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+LLLPDUXGHXIXIW-UHFFFAOYSA-N	
N-Methylhistamine:oxygen oxidoreductase (deaminating)	1.4.3.4	False	False	MHAJPDPJQMAIIY-UHFFFAOYSA-N+QGZKDVFQNNGYKY-UHFFFAOYSA-N+GCQHUBANENYTLB-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+MYMOFIZGZYHOMD-UHFFFAOYSA-N+FHQDWPCFSJMNCT-UHFFFAOYSA-N	
N-Methylputrescine:oxygen oxidoreductase (deaminating)	1.4.3.6	False	False	MHAJPDPJQMAIIY-UHFFFAOYSA-N+QGZKDVFQNNGYKY-UHFFFAOYSA-N+FDWZAOGDOVQOLD-UHFFFAOYSA-N	MYMOFIZGZYHOMD-UHFFFAOYSA-N+RMIVMBYMDISYFZ-UHFFFAOYSA-N	
N-[(R)-4-Phosphopantothenoyl]-L-cysteine carboxy-lyase Pantothenate and CoA biosynthesis EC:4.1.1.36	4.1.1.36	False	False	CURLTUGMZLYLDI-UHFFFAOYSA-N+JDMUPRLRUUMCTL-UHFFFAOYSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+XQYALQVLCNHCFT-CBAPKCEASA-N	
N-acetyl-D-mannosamine kinase	2.7.1.60	False	False	XTWYTFMLZFPYCI-KQYNXXCUSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+QDSLHWJDSQGPEE-UHFFFAOYSA-N	ZKHQWZAMYRWXGA-KQYNXXCUSA-N+MBLBDJOUHNCFQT-XAMCCFCMSA-N	
N-acetyl-g-glutamyl-phosphate reductase, irreversible, mitochondrial	1.2.1.38	False	False	XJLXINKUBYWONI-NNYOXOHSSA-K+NBIIXXVUZAFLBC-UHFFFAOYSA-N+BCPSFKBPHHBDAI-LURJTMIESA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K+FCVIHFVSXHOPSW-YFKPBYRVSA-N	
N-acetylgalactosamine 3-alpha-galactosyltransferase, Golgi apparatus		False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N	HSCJRCZFDFQWRP-LNYDKVEPSA-N+C04383	
N-acetylgalactosamine 3-beta-galactosyltransferase, Golgi apparatus	2.4.1.122	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N+22783	HSCJRCZFDFQWRP-LNYDKVEPSA-N+C04383	
N-acetylgalactosamine 4-beta-galactosyltransferase, Golgi apparatus		False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N	HSCJRCZFDFQWRP-LNYDKVEPSA-N	
N-acetylgalactosamine kinase		False	False	XTWYTFMLZFPYCI-KQYNXXCUSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+FZLJPEPAYPUMMR-KEWYIRBNSA-N	ZKHQWZAMYRWXGA-KQYNXXCUSA-N+OVRNDRQMDRJTHS-KEWYIRBNSA-N	
N-acetylgalactosamine kinase (ITP)		False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+FZLJPEPAYPUMMR-KEWYIRBNSA-N+JPXZQMKKFWMMGK-KQYNXXCUSA-N	OVRNDRQMDRJTHS-KEWYIRBNSA-N+HAEJPQIATWHALX-KQYNXXCUSA-N	
N-acetylgalactosamine-4-sulfatase, lysosomal	3.1.6.12	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+QAOWNCQODCNURD-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N	
N-acetylgalactosamine-6-sulfatase, lysosomal	3.1.6.4	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+QAOWNCQODCNURD-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N	
N-acetylgalactosaminidase, alpha-	3.2.1.49	False	False	18259+LFTYTUAZOPRMMI-LDDHHVEYSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N	
N-acetylgalactosaminidase, beta-		False	False	18259+LFTYTUAZOPRMMI-LDDHHVEYSA-N	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N	
N-acetylglucosamine 2-epimerase	5.1.3.8	True	True	MBLBDJOUHNCFQT-XAMCCFCMSA-N	MBLBDJOUHNCFQT-LXGUWJNJSA-N	
N-acetylglucosamine kinase	2.7.1.59	False	False	XTWYTFMLZFPYCI-KQYNXXCUSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+BRGMHAYQAZFZDJ-RTRLPJTCSA-N	ZKHQWZAMYRWXGA-KQYNXXCUSA-N+MBLBDJOUHNCFQT-LXGUWJNJSA-N	
N-acetylglucosamine-3-sulfatase, lysosomal	3.1.6.15	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+QAOWNCQODCNURD-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N	
N-acetylglucosamine-6-phosphate deacetylase	3.5.1.25	True	True	XHMJOUIAFHJHBW-UKFBFLRUSA-N+QTBSBXVTEAMEQO-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+BRGMHAYQAZFZDJ-RTRLPJTCSA-N	
N-acetylglucosamine-6-phosphate synthase	2.3.1.4	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+RGJOEKWQDUBAIZ-IBOSZNHHSA-N+BRGMHAYQAZFZDJ-RTRLPJTCSA-N	ZSLZBFCDCINBPY-ZSJPKINUSA-N+XHMJOUIAFHJHBW-UKFBFLRUSA-N	
N-acetylglucosamine-6-sulfatase, lysosomal	3.1.6.14	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+QAOWNCQODCNURD-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N	
N-acetylglucosaminidase, lysosomal		False	False	MBLBDJOUHNCFQT-LXGUWJNJSA-N+C04383	XLYOFNOQVPJJNP-UHFFFAOYSA-N	
N-acetylglucosaminylphosphatidylinositol deacetylase	3.5.1.89	False	False	QTBSBXVTEAMEQO-UHFFFAOYSA-N+17049	XLYOFNOQVPJJNP-UHFFFAOYSA-N+57265	
N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus	2.4.1.149	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N	LFTYTUAZOPRMMI-CFRASDGPSA-N	
N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase	2.4.1.150	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+XCCTYIAWTASOJW-XVFCMESISA-N	LFTYTUAZOPRMMI-CFRASDGPSA-N+62266	
N-acetylneuraminate,ferrocytochrome-b5:oxygen oxidoreductase (N-acetyl-hydroxylating) Aminosugars metabolism EC:1.14.18.2	1.14.18.2	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+FDJKUWYYUZCUJX-PGIATKPXSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+MYMOFIZGZYHOMD-UHFFFAOYSA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+SQVRNKJHWKZAKO-LUWBGTNYSA-N	
N-acetylputrescine: oxygen oxireductase (deaminating)	1.4.3.4	False	False	MHAJPDPJQMAIIY-UHFFFAOYSA-N+QGZKDVFQNNGYKY-UHFFFAOYSA-N+DDSLGZOYEPKPSJ-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+MYMOFIZGZYHOMD-UHFFFAOYSA-N+KLZGKIDSEJWEDW-UHFFFAOYSA-N	
N-acteylglutamate synthase, mitochondrial	2.3.1.1	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+RGJOEKWQDUBAIZ-IBOSZNHHSA-N+RFMMMVDNIPUKGG-YFKPBYRVSA-N	WHUUTDBJXJRKMK-VKHMYHEASA-N+ZSLZBFCDCINBPY-ZSJPKINUSA-N	
N-acylsphingosine amidohydrolase	3.5.1.23	False	False	WWUZIQQURGPMPG-ZWKOTPCHSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+52639	
N4-Acetylaminobutanal:NAD+ oxidoreductase	1.2.1.36	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+UZTFMUBKZQVKLK-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+DDSLGZOYEPKPSJ-UHFFFAOYSA-N	
N4-Acetylaminobutanal:NAD+ oxidoreductase (m)	1.5.1.12	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+UZTFMUBKZQVKLK-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+DDSLGZOYEPKPSJ-UHFFFAOYSA-N	
N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase; N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase (L-glutamate-forming) Lysine degradation EC:1.5.1.9	1.5.1.9	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+WHUUTDBJXJRKMK-VKHMYHEASA-N+GFXYTQPNNXGICT-YFKPBYRVSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M+ZDGJAHTZVHVLOT-YUMQZZPRSA-N	
NAD kinase		False	False	XTWYTFMLZFPYCI-KQYNXXCUSA-N+GPRLSGONYQIRFK-FTGQXOHASA-N+XJLXINKUBYWONI-NNYOXOHSSA-K	ZKHQWZAMYRWXGA-KQYNXXCUSA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M	
NAD nucleosidase	3.2.2.5	False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+SRNWOUGRCWSEMX-TYASJMOZSA-N+DFPAKSUCGFBDDF-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+BAWFJGJZGIEFAR-NNYOXOHSSA-M	
